review_order,question_id,job_id,concept_key,content_id,core_content_code,domain,topic_group,topic,title,source_label,batch_id,original_ordinal,is_paramedic_next_action_pilot,intended_pool_state
89,EMS2026-1-3-4-1-1-02,JOB-1-3-4-1-1-02,JOB-1-3-4-1-1-02,1.3.4.1.1,1.3.4.1.1,MEDICAL OVERSIGHT OF EMS,,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",Needlestick Exposure First Actions,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,25,False,voting
90,EMS2026-2-3-1-6-2-01,JOB-2-3-1-6-2-01,JOB-2-3-1-6-2-01,2.3.1.6.2,2.3.1.6.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Management and related devices,Recurrent Tension Pneumothorax,paramedic_next_action_50,20260706_paramedic_next_action_50,15,True,voting
91,EMS2026-4-6-2-4-04,JOB-4-6-2-4-04,JOB-4-6-2-4-04,4.6.2.4,4.6.2.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Patient temperature management,Field Thawing of Frostbite,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,26,False,voting
92,EMS2026-4-1-4-2-05,JOB-4-1-4-2-05,JOB-4-1-4-2-05,4.1.4.2,4.1.4.2,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,State emergency mutual aid compacts,Emergency Management Assistance Compact Licensure,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,27,False,voting
93,EMS2026-2-3-13-3-3-02,JOB-2-3-13-3-3-02,JOB-2-3-13-3-3-02,2.3.13.3.3,2.3.13.3.3,CLINICAL ASPECTS OF EMS MEDICINE,,Field prophylaxis and treatment,Mild Acute Mountain Sickness,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,28,False,voting
94,EMS2026-1-4-3-4-4-01,JOB-1-4-3-4-4-01,JOB-1-4-3-4-4-01,1.4.3.4.4,1.4.3.4.4,MEDICAL OVERSIGHT OF EMS,,Health Insurance Portability and Accountability Act (HIPAA),Health Privacy At A Public Scene,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,29,False,voting
95,EMS2026-2-3-13-4-4-01,JOB-2-3-13-4-4-01,JOB-2-3-13-4-4-01,2.3.13.4.4,2.3.13.4.4,CLINICAL ASPECTS OF EMS MEDICINE,,Nitrogen narcosis,Nitrogen Narcosis Mechanism,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,30,False,voting
96,EMS2026-2-3-2-6-2-02,JOB-2-3-2-6-2-02,JOB-2-3-2-6-2-02,2.3.2.6.2,2.3.2.6.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Ventricular assist devices (surgical and percutaneous),LVAD Alarm Troubleshooting,paramedic_next_action_50,20260706_paramedic_next_action_50,16,True,voting
97,EMS2026-2-3-1-6-2-03,JOB-2-3-1-6-2-03,JOB-2-3-1-6-2-03,2.3.1.6.2,2.3.1.6.2,CLINICAL ASPECTS OF EMS MEDICINE,,Management and related devices,Finger Thoracostomy System Requirements,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,31,False,voting
98,EMS2026-1-2-4-2-01,JOB-1-2-4-2-01,JOB-1-2-4-2-01,1.2.4.2,1.2.4.2,MEDICAL OVERSIGHT OF EMS,,"EMS clinician levels (EMR, EMT, AEMT, Paramedic)",National EMS Clinician Levels,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,32,False,voting
99,EMS2026-4-1-8-1-3-01,JOB-4-1-8-1-3-01,JOB-4-1-8-1-3-01,4.1.8.1.3,4.1.8.1.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Personnel and patient decontamination,Decontamination Before Leaving the Exposure Site,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,33,False,voting
100,EMS2026-2-2-5-1-2-05,JOB-2-2-5-1-2-05,JOB-2-2-5-1-2-05,2.2.5.1.2,2.2.5.1.2,CLINICAL ASPECTS OF EMS MEDICINE,,Joint reduction without anesthetics,Reduction Deferred For Analgesia,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,34,False,voting
101,EMS2026-1-5-4-10,JOB-1-5-4-10,JOB-1-5-4-10,1.5.4,1.5.4,MEDICAL OVERSIGHT OF EMS,,Communication lifecycle,FirstNet And Voice Interoperability,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,35,False,voting
102,EMS2026-2-3-5-4-04,JOB-2-3-5-4-04,JOB-2-3-5-4-04,2.3.5.4,2.3.5.4,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Insulin pumps,Insulin Pump Hypoglycemia,paramedic_next_action_50,20260706_paramedic_next_action_50,17,True,voting
103,EMS2026-4-3-1-07,JOB-4-3-1-07,JOB-4-3-1-07,4.3.1,4.3.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Personnel rehabilitation,Emergency Incident Rehabilitation Trigger,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,36,False,voting
104,EMS2026-2-3-12-3-1-04,JOB-2-3-12-3-1-04,JOB-2-3-12-3-1-04,2.3.12.3.1,2.3.12.3.1,CLINICAL ASPECTS OF EMS MEDICINE,,De-escalation techniques,De-Escalation By Room Setup,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,37,False,voting
105,EMS2026-2-3-13-3-1-03,JOB-2-3-13-3-1-03,JOB-2-3-13-3-1-03,2.3.13.3.1,2.3.13.3.1,CLINICAL ASPECTS OF EMS MEDICINE,,Protection from high altitude injury,Acute Mountain Sickness Recognition,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,38,False,voting
106,EMS2026-1-3-2-6-06,JOB-1-3-2-6-06,JOB-1-3-2-6-06,1.3.2.6,1.3.2.6,MEDICAL OVERSIGHT OF EMS,,Remediation and workforce re-entry,Remediation Matched To Defect Type,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,39,False,voting
107,EMS2026-2-4-5-6-04,JOB-2-4-5-6-04,JOB-2-4-5-6-04,2.4.5.6,2.4.5.6,CLINICAL ASPECTS OF EMS MEDICINE,,"Children with special healthcare needs (e.g., technology dependent)",Technology-Dependent Child Deterioration,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,40,False,voting
108,EMS2026-2-3-5-5-02,JOB-2-3-5-5-02,JOB-2-3-5-5-02,2.3.5.5,2.3.5.5,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Wearable glucose monitors,CGM Conflict With EMS Glucose,paramedic_next_action_50,20260706_paramedic_next_action_50,18,True,voting
109,EMS2026-4-1-7-3-3-01,JOB-4-1-7-3-3-01,JOB-4-1-7-3-3-01,4.1.7.3.3,4.1.7.3.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Patient tracking,Dynamic Triage Categories,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,41,False,voting
110,EMS2026-2-1-3-3-3-04,JOB-2-1-3-3-3-04,JOB-2-1-3-3-3-04,2.1.3.3.3,2.1.3.3.3,CLINICAL ASPECTS OF EMS MEDICINE,,Placement of intraosseous lines (adult and pediatric),Intraosseous Medication Delivery,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,42,False,voting
111,EMS2026-2-3-13-5-1-01,JOB-2-3-13-5-1-01,JOB-2-3-13-5-1-01,2.3.13.5.1,2.3.13.5.1,CLINICAL ASPECTS OF EMS MEDICINE,,Reverse triage,Lightning Reverse Triage,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,43,False,voting
112,EMS2026-4-6-2-3-03,JOB-4-6-2-3-03,JOB-4-6-2-3-03,4.6.2.3,4.6.2.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,"Field reduction of dislocations, subluxations, or fractures",Wilderness Shoulder Reduction,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,44,False,voting
113,EMS2026-2-4-13-05,JOB-2-4-13-05,JOB-2-4-13-05,2.4.13,2.4.13,CLINICAL ASPECTS OF EMS MEDICINE,,Gender-based Health Issues,Clinically Relevant Gender-Affirming History,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,45,False,voting
114,EMS2026-2-3-6-1-2-02,JOB-2-3-6-1-2-02,JOB-2-3-6-1-2-02,2.3.6.1.2,2.3.6.1.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Uncontrolled hemorrhage from shunt site,Dialysis Fistula Hemorrhage,paramedic_next_action_50,20260706_paramedic_next_action_50,19,True,voting
115,EMS2026-4-2-1-5-01,JOB-4-2-1-5-01,JOB-4-2-1-5-01,4.2.1.5,4.2.1.5,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,MCI preparedness within mass gathering,Mass Gathering Escalation Risk,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,46,False,voting
116,EMS2026-2-1-2-2-3-01,JOB-2-1-2-2-3-01,JOB-2-1-2-2-3-01,2.1.2.2.3,2.1.2.2.3,CLINICAL ASPECTS OF EMS MEDICINE,,Direct laryngoscopy,Direct Laryngoscopy Blade Technique,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,47,False,voting
117,EMS2026-2-2-5-1-1-03,JOB-2-2-5-1-1-03,JOB-2-2-5-1-1-03,2.2.5.1.1,2.2.5.1.1,CLINICAL ASPECTS OF EMS MEDICINE,,"Splinting, including use of nontraditional materials",Improvised Splint Construction,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,48,False,voting
118,EMS2026-2-3-11-1-3-04,JOB-2-3-11-1-3-04,JOB-2-3-11-1-3-04,2.3.11.1.3,2.3.11.1.3,CLINICAL ASPECTS OF EMS MEDICINE,,"Airborne (e.g., measles, COVID-19, varicella, tuberculosis)",Measles Precautions,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,49,False,voting
119,EMS2026-1-4-4-2-04,JOB-1-4-4-2-04,JOB-1-4-4-2-04,1.4.4.2,1.4.4.2,MEDICAL OVERSIGHT OF EMS,,Field triage to appropriate destination,Trauma Overtriage Tradeoff,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,50,False,voting
120,EMS2026-2-3-6-2-03,JOB-2-3-6-2-03,JOB-2-3-6-2-03,2.3.6.2,2.3.6.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Evaluation and treatment of hyperkalemia,Hyperkalemia With ECG Changes,paramedic_next_action_50,20260706_paramedic_next_action_50,20,True,voting
121,EMS2026-4-1-3-3-02,JOB-4-1-3-3-02,JOB-4-1-3-3-02,4.1.3.3,4.1.3.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Regional resource allocation and management,EMS Branch Span Of Control,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,51,False,voting
122,EMS2026-2-3-8-6-05,JOB-2-3-8-6-05,JOB-2-3-8-6-05,2.3.8.6,2.3.8.6,CLINICAL ASPECTS OF EMS MEDICINE,,"Bites, stings, and envenomation",Envenomation Destination Planning,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,52,False,voting
123,EMS2026-4-1-8-4-04,JOB-4-1-8-4-04,JOB-4-1-8-4-04,4.1.8.4,4.1.8.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Radiological incidents,Radiological Contamination and Lifesaving Care,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,53,False,voting
124,EMS2026-4-7-3-05,JOB-4-7-3-05,JOB-4-7-3-05,4.7.3,4.7.3,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,"Resources (e.g., equipment, medications, or point-of-care testing)",Point-Of-Care Testing In Mobile Integrated Health,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,54,False,voting
125,EMS2026-3-2-1-2-07,JOB-3-2-1-2-07,JOB-3-2-1-2-07,3.2.1.2,3.2.1.2,QUALITY MANAGEMENT AND RESEARCH,,Role of the Institutional Review Board,IRB Review For Emergency Research,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,55,False,voting
126,EMS2026-2-3-7-1-2-02,JOB-2-3-7-1-2-02,JOB-2-3-7-1-2-02,2.3.7.1.2,2.3.7.1.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Preeclampsia and eclampsia,Eclamptic Seizure Priorities,paramedic_next_action_50,20260706_paramedic_next_action_50,21,True,voting
127,EMS2026-1-2-7-11,JOB-1-2-7-11,JOB-1-2-7-11,1.2.7,1.2.7,MEDICAL OVERSIGHT OF EMS,,Regionalization of Care,Diversion Rule With Time-Critical Exceptions,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,56,False,voting
128,EMS2026-3-1-4-1-04,JOB-3-1-4-1-04,JOB-3-1-4-1-04,3.1.4.1,3.1.4.1,QUALITY MANAGEMENT AND RESEARCH,,"Local, state, and national EMS data sources (including registries and databases)",Utstein Cardiac Arrest Dataset,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,57,False,voting
129,EMS2026-3-1-2-1-08,JOB-3-1-2-1-08,JOB-3-1-2-1-08,3.1.2.1,3.1.2.1,QUALITY MANAGEMENT AND RESEARCH,,Clinical decision making,Nonconveyance Oversight,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,58,False,voting
130,EMS2026-4-4-6-1-05,JOB-4-4-6-1-05,JOB-4-4-6-1-05,4.4.6.1,4.4.6.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Medical threat assessment,Tactical Medical Threat Assessment,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,59,False,voting
131,EMS2026-1-1-2-1-02,JOB-1-1-2-1-02,JOB-1-1-2-1-02,1.1.2.1,1.1.2.1,MEDICAL OVERSIGHT OF EMS,,Definition of a patient,Public Duty Versus Special Duty,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,60,False,voting
132,EMS2026-2-3-7-1-4-02,JOB-2-3-7-1-4-02,JOB-2-3-7-1-4-02,2.3.7.1.4,2.3.7.1.4,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Placenta previa,Placenta Previa Exam Avoidance,paramedic_next_action_50,20260706_paramedic_next_action_50,22,True,voting
133,EMS2026-1-2-5-6-03,JOB-1-2-5-6-03,JOB-1-2-5-6-03,1.2.5.6,1.2.5.6,MEDICAL OVERSIGHT OF EMS,,Inter-facility transport,Interfacility Transport Responsibility,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,61,False,voting
134,EMS2026-4-5-1-2-03,JOB-4-5-1-2-03,JOB-4-5-1-2-03,4.5.1.2,4.5.1.2,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Confined space rescue,Confined-Space Atmospheric Testing,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,62,False,voting
135,EMS2026-1-4-6-1-03,JOB-1-4-6-1-03,JOB-1-4-6-1-03,1.4.6.1,1.4.6.1,MEDICAL OVERSIGHT OF EMS,,Alternative destinations,"Emergency Triage, Treat, And Transport Model",legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,63,False,voting
136,EMS2026-1-1-2-4-2-03,JOB-1-1-2-4-2-03,JOB-1-1-2-4-2-03,1.1.2.4.2,1.1.2.4.2,MEDICAL OVERSIGHT OF EMS,,Difference between capacity and competence,Capacity Defect In A Refusal,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,64,False,voting
137,EMS2026-1-1-2-1-06,JOB-1-1-2-1-06,JOB-1-1-2-1-06,1.1.2.1,1.1.2.1,MEDICAL OVERSIGHT OF EMS,,Definition of a patient,Capacity Versus Competence,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,65,False,voting
138,EMS2026-2-3-7-3-2-02,JOB-2-3-7-3-2-02,JOB-2-3-7-3-2-02,2.3.7.3.2,2.3.7.3.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Shoulder dystocia,Shoulder Dystocia First Maneuver,paramedic_next_action_50,20260706_paramedic_next_action_50,23,True,voting
139,EMS2026-2-4-6-1-05,JOB-2-4-6-1-05,JOB-2-4-6-1-05,2.4.6.1,2.4.6.1,CLINICAL ASPECTS OF EMS MEDICINE,,"Geriatric trauma (e.g., falls)",Geriatric Trauma Packaging,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,66,False,voting
140,EMS2026-2-3-2-1-3-02,JOB-2-3-2-1-3-02,JOB-2-3-2-1-3-02,2.3.2.1.3,2.3.2.1.3,CLINICAL ASPECTS OF EMS MEDICINE,,Prehospital administration of thrombolytics for STEMI,STEMI Reperfusion Strategy At The Margin,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,67,False,voting
141,EMS2026-2-3-11-6-2-02,JOB-2-3-11-6-2-02,JOB-2-3-11-6-2-02,2.3.11.6.2,2.3.11.6.2,CLINICAL ASPECTS OF EMS MEDICINE,,Infection control liaison between hospital and EMS agency,Meningococcal Exposure Follow-Up,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,68,False,voting
142,EMS2026-2-1-2-2-1-03,JOB-2-1-2-2-1-03,JOB-2-1-2-2-1-03,2.1.2.2.1,2.1.2.2.1,CLINICAL ASPECTS OF EMS MEDICINE,,Devices for securing airway,Continuous Tube Confirmation,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,69,False,voting
143,EMS2026-2-3-10-2-05,JOB-2-3-10-2-05,JOB-2-3-10-2-05,2.3.10.2,2.3.10.2,CLINICAL ASPECTS OF EMS MEDICINE,,"Management (e.g., care bundles)",Septic Shock Perfusion Target,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,70,False,voting
144,EMS2026-2-3-7-3-6-02,JOB-2-3-7-3-6-02,JOB-2-3-7-3-6-02,2.3.7.3.6,2.3.7.3.6,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Neonatal resuscitation,Neonatal Positive-Pressure Ventilation,paramedic_next_action_50,20260706_paramedic_next_action_50,24,True,voting
145,EMS2026-2-3-2-2-2-01,JOB-2-3-2-2-2-01,JOB-2-3-2-2-2-01,2.3.2.2.2,2.3.2.2.2,CLINICAL ASPECTS OF EMS MEDICINE,,Heart failure management,Severe Cardiogenic Pulmonary Edema,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,71,False,voting
146,EMS2026-4-1-4-1-03,JOB-4-1-4-1-03,JOB-4-1-4-1-03,4.1.4.1,4.1.4.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,State and federal criteria for disaster declaration,Stafford Act Disaster Declaration,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,72,False,voting
147,EMS2026-2-2-1-3-03,JOB-2-2-1-3-03,JOB-2-2-1-3-03,2.2.1.3,2.2.1.3,CLINICAL ASPECTS OF EMS MEDICINE,,Field trauma triage criteria,Unstable Pelvis Field Triage,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,73,False,voting
148,EMS2026-1-3-4-4-04,JOB-1-3-4-4-04,JOB-1-3-4-4-04,1.3.4.4,1.3.4.4,MEDICAL OVERSIGHT OF EMS,,Prevention and intervention for psychologically stressful events,Immediate Stress Intervention,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,74,False,voting
149,EMS2026-2-2-1-5-05,JOB-2-2-1-5-05,JOB-2-2-1-5-05,2.2.1.5,2.2.1.5,CLINICAL ASPECTS OF EMS MEDICINE,,Control of life-threatening hemorrhage,Anticoagulants Without Losing Hemorrhage Priorities,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,75,False,voting
150,EMS2026-2-3-8-3-01,JOB-2-3-8-3-01,JOB-2-3-8-3-01,2.3.8.3,2.3.8.3,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Treatment with antidotes,Ventilation Before Naloxone,paramedic_next_action_50,20260706_paramedic_next_action_50,25,True,voting
151,EMS2026-1-3-1-1-01,JOB-1-3-1-1-01,JOB-1-3-1-1-01,1.3.1.1,1.3.1.1,MEDICAL OVERSIGHT OF EMS,,State vs. national,Scope of Practice Authority,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,76,False,voting
152,EMS2026-1-2-5-8-06,JOB-1-2-5-8-06,JOB-1-2-5-8-06,1.2.5.8,1.2.5.8,MEDICAL OVERSIGHT OF EMS,,Critical care and specialty care transport,Burn Transport Airway Before Departure,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,77,False,voting
153,EMS2026-2-1-3-2-02,JOB-2-1-3-2-02,JOB-2-1-3-2-02,2.1.3.2,2.1.3.2,CLINICAL ASPECTS OF EMS MEDICINE,,Management of hypotension and shock,Anaphylactic Shock Without Rash,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,78,False,voting
154,EMS2026-2-4-9-1-05,JOB-2-4-9-1-05,JOB-2-4-9-1-05,2.4.9.1,2.4.9.1,CLINICAL ASPECTS OF EMS MEDICINE,,Social isolation,Quarantine And Family Accompaniment,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,79,False,voting
155,EMS2026-2-3-10-2-01,JOB-2-3-10-2-01,JOB-2-3-10-2-01,2.3.10.2,2.3.10.2,CLINICAL ASPECTS OF EMS MEDICINE,,"Management (e.g., care bundles)",Prehospital Antibiotics in Septic Shock,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,80,False,voting
156,EMS2026-2-3-8-2-5-03,JOB-2-3-8-2-5-03,JOB-2-3-8-2-5-03,2.3.8.2.5,2.3.8.2.5,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Organophosphates,Atropine Endpoint In Organophosphate Poisoning,paramedic_next_action_50,20260706_paramedic_next_action_50,26,True,voting
157,EMS2026-2-4-5-1-04,JOB-2-4-5-1-04,JOB-2-4-5-1-04,2.4.5.1,2.4.5.1,CLINICAL ASPECTS OF EMS MEDICINE,,Pediatric airway management,Pediatric Airway Program Threshold,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,81,False,voting
158,EMS2026-3-1-2-3-06,JOB-3-1-2-3-06,JOB-3-1-2-3-06,3.1.2.3,3.1.2.3,QUALITY MANAGEMENT AND RESEARCH,,Adverse events,Why EMS Adverse Events Are Missed,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,82,False,voting
159,EMS2026-1-4-5-05,JOB-1-4-5-05,JOB-1-4-5-05,1.4.5,1.4.5,MEDICAL OVERSIGHT OF EMS,,System Status Management,System Status Management Tradeoff,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,83,False,voting
160,EMS2026-2-3-7-2-2-02,JOB-2-3-7-2-2-02,JOB-2-3-7-2-2-02,2.3.7.2.2,2.3.7.2.2,CLINICAL ASPECTS OF EMS MEDICINE,,"High-risk delivery of a fetus (e.g., preterm delivery)",Temporizing High-Risk Delivery,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,84,False,voting
161,EMS2026-1-5-3-05,JOB-1-5-3-05,JOB-1-5-3-05,1.5.3,1.5.3,MEDICAL OVERSIGHT OF EMS,,Emergency risk communication,Repeating Risk Messages,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,85,False,voting
162,EMS2026-2-3-8-5-1-02,JOB-2-3-8-5-1-02,JOB-2-3-8-5-1-02,2.3.8.5.1,2.3.8.5.1,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Treatment of suspected overdose,Toxicologic Seizure Treatment,paramedic_next_action_50,20260706_paramedic_next_action_50,27,True,voting
163,EMS2026-2-3-1-3-01,JOB-2-3-1-3-01,JOB-2-3-1-3-01,2.3.1.3,2.3.1.3,CLINICAL ASPECTS OF EMS MEDICINE,,Management of respiratory distress or shortness of breath,Oxygen Targeting Instead Of Comfort Oxygen,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,86,False,voting
164,EMS2026-3-2-3-2-07,JOB-3-2-3-2-07,JOB-3-2-3-2-07,3.2.3.2,3.2.3.2,QUALITY MANAGEMENT AND RESEARCH,,Statistical tests,Sensitivity And Specificity,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,87,False,voting
165,EMS2026-1-5-3-08,JOB-1-5-3-08,JOB-1-5-3-08,1.5.3,1.5.3,MEDICAL OVERSIGHT OF EMS,,Emergency risk communication,Avoiding Overreassurance,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,88,False,voting
166,EMS2026-1-3-1-1-07,JOB-1-3-1-1-07,JOB-1-3-1-1-07,1.3.1.1,1.3.1.1,MEDICAL OVERSIGHT OF EMS,,State vs. national,EMS Compact Authority,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,89,False,voting
167,EMS2026-2-3-6-2-01,JOB-2-3-6-2-01,JOB-2-3-6-2-01,2.3.6.2,2.3.6.2,CLINICAL ASPECTS OF EMS MEDICINE,,Evaluation and treatment of hyperkalemia,Missed Dialysis With Wide-Complex Bradycardia,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,90,False,voting
168,EMS2026-2-3-10-1-03,JOB-2-3-10-1-03,JOB-2-3-10-1-03,2.3.10.1,2.3.10.1,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,Early recognition,Recognizing Prehospital Septic Shock,paramedic_next_action_50,20260706_paramedic_next_action_50,28,True,voting
169,EMS2026-1-4-6-2-03,JOB-1-4-6-2-03,JOB-1-4-6-2-03,1.4.6.2,1.4.6.2,MEDICAL OVERSIGHT OF EMS,,Treatment in place,MIH Treatment-in-Place Design,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,91,False,voting
170,EMS2026-1-5-1-09,JOB-1-5-1-09,JOB-1-5-1-09,1.5.1,1.5.1,MEDICAL OVERSIGHT OF EMS,,Public information and interacting with the media,Risk Communication Without Repeating Rumor,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,92,False,voting
171,EMS2026-2-1-3-4-01,JOB-2-1-3-4-01,JOB-2-1-3-4-01,2.1.3.4,2.1.3.4,CLINICAL ASPECTS OF EMS MEDICINE,,Blood product transfusion,Blood Product Program Readiness,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,93,False,voting
172,EMS2026-1-4-4-2-03,JOB-1-4-4-2-03,JOB-1-4-4-2-03,1.4.4.2,1.4.4.2,MEDICAL OVERSIGHT OF EMS,,Field triage to appropriate destination,Field Activation As Simultaneous Processing,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,94,False,voting
173,EMS2026-4-4-6-1-02,JOB-4-4-6-1-02,JOB-4-4-6-1-02,4.4.6.1,4.4.6.1,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,Medical threat assessment,Tactical Medical Threat Across Mission Phases,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,95,False,voting
174,EMS2026-2-3-10-2-03,JOB-2-3-10-2-03,JOB-2-3-10-2-03,2.3.10.2,2.3.10.2,CLINICAL ASPECTS OF EMS MEDICINE,MEDICAL EMERGENCIES,"Management (e.g., care bundles)",Oxygenation In Septic Shock,paramedic_next_action_50,20260706_paramedic_next_action_50,29,True,voting
175,EMS2026-3-2-4-3-02,JOB-3-2-4-3-02,JOB-3-2-4-3-02,3.2.4.3,3.2.4.3,QUALITY MANAGEMENT AND RESEARCH,,Outcome measures,Outcome Measure That Matters,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,96,False,voting
176,EMS2026-4-1-4-2-06,JOB-4-1-4-2-06,JOB-4-1-4-2-06,4.1.4.2,4.1.4.2,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,,State emergency mutual aid compacts,Mutual Aid and Self-Deployment,legacy_locked_priority_superset_100,legacy_locked_priority_superset_100,97,False,voting
