content_id,question_count,question_ids,review_orders,titles,source_labels,topics,topic_groups
2.3.11.6.2,2,EMS2026-2-3-11-6-2-02|EMS2026-2-3-11-6-2-01,141|194,Meningococcal Exposure Follow-Up|Ryan White Infection Control Structure,legacy_locked_priority_superset_100|second50_qi_review,Infection control liaison between hospital and EMS agency,
2.3.11.6.3,1,EMS2026-2-3-11-6-3-01,386,Isolation Versus Quarantine,primary_doctrine_uncovered100,Quarantine and isolation,MEDICAL EMERGENCIES
2.3.11.7,1,EMS2026-2-3-11-7-03,38,Ambulance Decontamination PPE,first50_reviewed_website_push,Cleaning and disinfection of the ambulance,Medical Emergencies
2.3.12.1.1,1,EMS2026-2-3-12-1-1-02,192,Direct Suicide Risk Questions,paramedic_next_action_50,Mood disorders,MEDICAL EMERGENCIES
2.3.12.1.2,2,EMS2026-2-3-12-1-2-04|EMS2026-2-3-12-1-2-02,254|395,Psychosis De-Escalation With Safety Boundary|Violence Risk In Psychosis,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Psychosis,MEDICAL EMERGENCIES
2.3.12.1.3,1,EMS2026-2-3-12-1-3-02,198,Panic Mimic Assessment,paramedic_next_action_50,"Anxiety, panic disorder, hyperventilation syndrome",MEDICAL EMERGENCIES
2.3.12.2,1,EMS2026-2-3-12-2-03,204,Weapon Risk In Suicidal Patient,paramedic_next_action_50,Suicidal ideation,MEDICAL EMERGENCIES
2.3.12.3.1,1,EMS2026-2-3-12-3-1-04,104,De-Escalation By Room Setup,legacy_locked_priority_superset_100,De-escalation techniques,
2.3.12.3.4,1,EMS2026-2-3-12-3-4-02,210,Agitated Delirium As Medical Emergency,paramedic_next_action_50,Delirium with agitated behavior,MEDICAL EMERGENCIES
2.3.13.1.1,1,EMS2026-2-3-13-1-1-02,216,Urban Hypothermia Assessment,paramedic_next_action_50,Hypothermia,MEDICAL EMERGENCIES
2.3.13.1.2,1,EMS2026-2-3-13-1-2-01,304,Trench Foot Versus Frostbite,primary_doctrine_uncovered100,Localized cold injuries (e.g. frostbite),MEDICAL EMERGENCIES
2.3.13.1.3,1,EMS2026-2-3-13-1-3-02,222,Gentle Handling In Moderate Hypothermia,paramedic_next_action_50,Protection from injury vs. re-warming,MEDICAL EMERGENCIES
2.3.13.2.1,2,EMS2026-2-3-13-2-1-02|EMS2026-2-3-13-2-1-03,182|228,Heat Exhaustion Versus Heat Stroke|Cool First In Exertional Heat Stroke,second50_qi_review|paramedic_next_action_50,Exertional heat stroke,MEDICAL EMERGENCIES
2.3.13.3.1,2,EMS2026-2-3-13-3-1-03|EMS2026-2-3-13-3-1-04,105|196,Acute Mountain Sickness Recognition|High-Altitude Cerebral Edema Temporizing Medication,legacy_locked_priority_superset_100|second50_qi_review,Protection from high altitude injury,
2.3.13.3.3,1,EMS2026-2-3-13-3-3-02,93,Mild Acute Mountain Sickness,legacy_locked_priority_superset_100,Field prophylaxis and treatment,
2.3.13.4.1,1,EMS2026-2-3-13-4-1-03,234,Ventilation Priority In Drowning Arrest,paramedic_next_action_50,Initial management in water,MEDICAL EMERGENCIES
2.3.13.4.2,1,EMS2026-2-3-13-4-2-01,49,Decompression Sickness Mechanism,first50_reviewed_website_push,Decompression illness,Medical Emergencies
2.3.13.4.4,1,EMS2026-2-3-13-4-4-01,95,Nitrogen Narcosis Mechanism,legacy_locked_priority_superset_100,Nitrogen narcosis,
2.3.13.4.5,1,EMS2026-2-3-13-4-5-02,380,Seizure During Deep Technical Dive,live400_duplicate_replacement_20260707,Oxygen toxicity,MEDICAL EMERGENCIES
2.3.13.5.1,1,EMS2026-2-3-13-5-1-01,111,Lightning Reverse Triage,legacy_locked_priority_superset_100,Reverse triage,
2.3.2.1.3,1,EMS2026-2-3-2-1-3-02,140,STEMI Reperfusion Strategy At The Margin,legacy_locked_priority_superset_100,Prehospital administration of thrombolytics for STEMI,
2.3.2.2.1,1,EMS2026-2-3-2-2-1-02,227,Volume-Overload Heart Failure Pattern,second50_qi_review,Field identification of heart failure (acute or chronic),
2.3.2.2.2,1,EMS2026-2-3-2-2-2-01,145,Severe Cardiogenic Pulmonary Edema,legacy_locked_priority_superset_100,Heart failure management,
2.3.2.3,1,EMS2026-2-3-2-3-03,351,Hypertensive Pulmonary Edema Treatment Escalation,live400_duplicate_replacement_20260707,Sympathetic crashing acute pulmonary edema (SCAPE),MEDICAL EMERGENCIES
2.3.2.5,1,EMS2026-2-3-2-5-02,347,Field Tamponade Assessment,primary_doctrine_uncovered100,Pericardiocentesis with or without ultrasound or other guidance device,MEDICAL EMERGENCIES
2.3.2.6.1,1,EMS2026-2-3-2-6-1-03,187,IABP Transport Precheck,second50_qi_review,Intra-aortic balloon pump management,
2.3.2.6.2,2,EMS2026-2-3-2-6-2-02|EMS2026-2-3-2-6-2-03,96|331,LVAD Alarm Troubleshooting|Low-Flow Ventricular Assist Device Alarm,paramedic_next_action_50|primary_doctrine_uncovered100,Ventricular assist devices (surgical and percutaneous),MEDICAL EMERGENCIES
2.3.2.7,1,EMS2026-2-3-2-7-02,58,Wearable Defibrillator During CPR,first50_reviewed_website_push,Wearable cardioverter defibrillator,Medical Emergencies
2.3.3.1.1,2,EMS2026-2-3-3-1-1-05|EMS2026-2-3-3-1-1-04,4|394,Stroke Mimic Glucose Check|Prehospital Large Vessel Occlusion Screen,first50_reviewed_website_push|primary_doctrine_uncovered100,Prehospital stroke identification and severity scales,MEDICAL EMERGENCIES|Medical Emergencies
2.3.4.1,1,EMS2026-2-3-4-1-07,287,Antithrombotic Detail In Bleeding Handoff,uncovered50_v3_source_hardened,Gastrointestinal hemorrhage,MEDICAL EMERGENCIES
2.3.4.2,1,EMS2026-2-3-4-2-02,289,Jejunal Feeding Port Implication,uncovered50_v3_source_hardened,Gastrointestinal tube displacement,MEDICAL EMERGENCIES
2.3.5.2,1,EMS2026-2-3-5-2-04,25,Hypoglycemia Treat-And-Release Criteria,first50_reviewed_website_push,Protocols for treat and release,Medical Emergencies
2.3.5.4,2,EMS2026-2-3-5-4-04|EMS2026-2-3-5-4-01,102|255,Insulin Pump Hypoglycemia|Insulin Pump And Route-Specific Hypoglycemia Care,paramedic_next_action_50|uncovered50_v3_source_hardened,Insulin pumps,MEDICAL EMERGENCIES
2.3.5.5,1,EMS2026-2-3-5-5-02,108,CGM Conflict With EMS Glucose,paramedic_next_action_50,Wearable glucose monitors,MEDICAL EMERGENCIES
2.3.6.1.2,1,EMS2026-2-3-6-1-2-02,114,Dialysis Fistula Hemorrhage,paramedic_next_action_50,Uncontrolled hemorrhage from shunt site,MEDICAL EMERGENCIES
2.3.6.2,2,EMS2026-2-3-6-2-03|EMS2026-2-3-6-2-01,120|167,Hyperkalemia With ECG Changes|Missed Dialysis With Wide-Complex Bradycardia,paramedic_next_action_50|legacy_locked_priority_superset_100,Evaluation and treatment of hyperkalemia,MEDICAL EMERGENCIES
2.3.7.1.2,1,EMS2026-2-3-7-1-2-02,126,Eclamptic Seizure Priorities,paramedic_next_action_50,Preeclampsia and eclampsia,MEDICAL EMERGENCIES
2.3.7.1.4,2,EMS2026-2-3-7-1-4-02|EMS2026-2-3-7-1-4-01,132|323,Placenta Previa Exam Avoidance|Placenta Previa Versus Abruption,paramedic_next_action_50|primary_doctrine_uncovered100,Placenta previa,MEDICAL EMERGENCIES
2.3.7.1.5,1,EMS2026-2-3-7-1-5-01,263,First-Trimester Bleeding With Shock,uncovered50_v3_source_hardened,Spontaneous or threatened abortion,MEDICAL EMERGENCIES
2.3.7.2.2,2,EMS2026-2-3-7-2-2-03|EMS2026-2-3-7-2-2-02,53|160,High-Risk Delivery Resources|Temporizing High-Risk Delivery,first50_reviewed_website_push|legacy_locked_priority_superset_100,"High-risk delivery of a fetus (e.g., preterm delivery)",Medical Emergencies
2.3.7.3.2,1,EMS2026-2-3-7-3-2-02,138,Shoulder Dystocia First Maneuver,paramedic_next_action_50,Shoulder dystocia,MEDICAL EMERGENCIES
2.3.7.3.4,2,EMS2026-2-3-7-3-4-04|EMS2026-2-3-7-3-4-02,19|189,Postpartum Hemorrhage Adjuncts|Uterine Atony Recognition,first50_reviewed_website_push|second50_qi_review,Post-partum hemorrhage,Medical Emergencies
2.3.7.3.6,1,EMS2026-2-3-7-3-6-02,144,Neonatal Positive-Pressure Ventilation,paramedic_next_action_50,Neonatal resuscitation,MEDICAL EMERGENCIES
2.3.7.6,1,EMS2026-2-3-7-6-01,230,Pregnant Trauma Monitoring Destination,second50_qi_review,Trauma in pregnancy,
2.3.7.7,1,EMS2026-2-3-7-7-01,367,Gynecologic Complaint In A Child,primary_doctrine_uncovered100,"Gynecologic emergencies (e.g., ovarian torsion)",MEDICAL EMERGENCIES
2.3.7.8,1,EMS2026-2-3-7-8-05,68,Resuscitative Hysterotomy,legacy_locked_priority_superset_100,Systems of care (including destination decisions),
2.3.8.2.2,1,EMS2026-2-3-8-2-2-04,336,Cyanide Gas Decontamination,primary_doctrine_uncovered100,Cyanide,MEDICAL EMERGENCIES
2.3.8.2.5,1,EMS2026-2-3-8-2-5-03,156,Atropine Endpoint In Organophosphate Poisoning,paramedic_next_action_50,Organophosphates,MEDICAL EMERGENCIES
2.3.8.2.6,1,EMS2026-2-3-8-2-6-02,368,Phosgene Latent Pulmonary Edema,primary_doctrine_uncovered100,Phosgene,MEDICAL EMERGENCIES
2.3.8.3,2,EMS2026-2-3-8-3-05|EMS2026-2-3-8-3-01,63|150,Antidote Matching in Toxic Shock|Ventilation Before Naloxone,legacy_locked_priority_superset_100|paramedic_next_action_50,Treatment with antidotes,MEDICAL EMERGENCIES
2.3.8.4,1,EMS2026-2-3-8-4-05,223,Caustic Ingestion Oral Exam Trap,second50_qi_review,Caustic substance ingestion (including airway management),
2.3.8.5.1,1,EMS2026-2-3-8-5-1-02,162,Toxicologic Seizure Treatment,paramedic_next_action_50,Treatment of suspected overdose,MEDICAL EMERGENCIES
2.3.8.6,1,EMS2026-2-3-8-6-05,122,Envenomation Destination Planning,legacy_locked_priority_superset_100,"Bites, stings, and envenomation",
2.3.9.5,1,EMS2026-2-3-9-5-02,294,Blast Scene Secondary-Device Safety,paramedic_next_action_50,Explosive/Blast,MEDICAL EMERGENCIES
2.4.1,1,EMS2026-2-4-1-02,28,Field-Relevant POC Testing,first50_reviewed_website_push,Point of Care Testing,Special Clinical Considerations
2.4.12.1,1,EMS2026-2-4-12-1-02,82,Lift Assist Refusal Risk,legacy_locked_priority_superset_100,Lift assist calls,
2.4.13,2,EMS2026-2-4-13-03|EMS2026-2-4-13-05,71|113,Names and Pronouns in Prehospital Care|Clinically Relevant Gender-Affirming History,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Gender-based Health Issues,
2.4.4.1,2,EMS2026-2-4-4-1-06|EMS2026-2-4-4-1-04,284|319,Fixed-Wing Motion And Fracture Pain|Air Transport Cuff Pressure,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Effect of altitude on patient management,SPECIAL CLINICAL CONSIDERATIONS
2.4.5.1,3,EMS2026-2-4-5-1-05|EMS2026-2-4-5-1-04|EMS2026-2-4-5-1-03,23|157|240,Pediatric Airway Program Metrics|Pediatric Airway Program Threshold|Croup Treatment Without Agitation,first50_reviewed_website_push|legacy_locked_priority_superset_100|paramedic_next_action_50,Pediatric airway management,SPECIAL CLINICAL CONSIDERATIONS|Special Clinical Considerations
2.4.5.4,1,EMS2026-2-4-5-4-03,246,Concerning Pediatric Refusal,paramedic_next_action_50,Unique issues related to consent,SPECIAL CLINICAL CONSIDERATIONS
2.4.5.5,1,EMS2026-2-4-5-5-01,20,BRUE Definition Boundary,first50_reviewed_website_push,Brief resolved unexplained event (BRUE),Special Clinical Considerations
2.4.5.6,2,EMS2026-2-4-5-6-04|EMS2026-2-4-5-6-01,107|369,Technology-Dependent Child Deterioration|Special Health Care Needs Beyond Technology,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,"Children with special healthcare needs (e.g., technology dependent)",SPECIAL CLINICAL CONSIDERATIONS
2.4.5.7,1,EMS2026-2-4-5-7-03,252,Safe Pediatric Ambulance Restraint,paramedic_next_action_50,Safe transport of pediatric patients,SPECIAL CLINICAL CONSIDERATIONS
2.4.6.1,2,EMS2026-2-4-6-1-05|EMS2026-2-4-6-1-03,139|258,Geriatric Trauma Packaging|Geriatric Head Injury Undertriage,legacy_locked_priority_superset_100|paramedic_next_action_50,"Geriatric trauma (e.g., falls)",SPECIAL CLINICAL CONSIDERATIONS
2.4.6.3,1,EMS2026-2-4-6-3-04,264,Acute Delirium In Dementia,paramedic_next_action_50,Dementia or delirium,SPECIAL CLINICAL CONSIDERATIONS
2.4.7.1,2,EMS2026-2-4-7-1-01|EMS2026-2-4-7-1-03,313|327,Bariatric Blood Pressure Miscuffing|Bariatric-Specific Access Equipment Sizing,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Equipment,SPECIAL CLINICAL CONSIDERATIONS
2.4.7.2,1,EMS2026-2-4-7-2-02,270,Bariatric Respiratory Positioning,paramedic_next_action_50,Procedure challenges,SPECIAL CLINICAL CONSIDERATIONS
2.4.8.1,1,EMS2026-2-4-8-1-03,276,Hospice Dyspnea Goals Of Care,paramedic_next_action_50,Hospice care,SPECIAL CLINICAL CONSIDERATIONS
2.4.9.1,1,EMS2026-2-4-9-1-05,154,Quarantine And Family Accompaniment,legacy_locked_priority_superset_100,Social isolation,
2.4.9.2,1,EMS2026-2-4-9-2-02,282,Caregiver Input For Home Ventilator Alarm,paramedic_next_action_50,Family centered care,SPECIAL CLINICAL CONSIDERATIONS
2.4.9.3,1,EMS2026-2-4-9-3-02,288,Bystander History During Ongoing Care,paramedic_next_action_50,Management of bystanders while caring for patient,SPECIAL CLINICAL CONSIDERATIONS
2.4.9.4,1,EMS2026-2-4-9-4-05,393,Death Notification Statement,primary_doctrine_uncovered100,Delivering bad news,SPECIAL CLINICAL CONSIDERATIONS
2.4.9.6,2,EMS2026-2-4-9-6-01|EMS2026-2-4-9-6-04,51|324,Housing Status Documentation|Housing Instability Program Metrics,first50_reviewed_website_push|primary_doctrine_uncovered100,Housing instability,SPECIAL CLINICAL CONSIDERATIONS|Special Clinical Considerations
3.1.1,1,EMS2026-3-1-1-07,9,PDSA Small Test Of Change,first50_reviewed_website_push,Quality Improvement Methodology Frameworks,Quality Management
3.1.2.1,2,EMS2026-3-1-2-1-02|EMS2026-3-1-2-1-08,3|129,System 1 Reasoning Trap|Nonconveyance Oversight,first50_reviewed_website_push|legacy_locked_priority_superset_100,Clinical decision making,Quality Management
3.1.2.2,1,EMS2026-3-1-2-2-04,29,Human Factors Safer Default,first50_reviewed_website_push,Cognitive biases,Quality Management
3.1.2.3,1,EMS2026-3-1-2-3-06,158,Why EMS Adverse Events Are Missed,legacy_locked_priority_superset_100,Adverse events,
3.1.2.4,1,EMS2026-3-1-2-4-05,243,Just Culture Versus Disciplinary Contamination,uncovered50_v3_source_hardened,Just culture,QUALITY MANAGEMENT
3.1.3.1.1,1,EMS2026-3-1-3-1-1-05,265,Driver Diagram Parts After Fishbone Work,uncovered50_v3_source_hardened,Causal tools (fishbone and driver diagram),QUALITY MANAGEMENT
3.1.3.1.2,1,EMS2026-3-1-3-1-2-05,249,Control Chart Versus Run Chart After Intervention,uncovered50_v3_source_hardened,Graphic display tools (run chart and control chart),QUALITY MANAGEMENT
3.1.3.2,1,EMS2026-3-1-3-2-02,27,QI Infrastructure And Trust,first50_reviewed_website_push,Quality improvement programs,Quality Management
3.1.4.1,1,EMS2026-3-1-4-1-04,128,Utstein Cardiac Arrest Dataset,legacy_locked_priority_superset_100,"Local, state, and national EMS data sources (including registries and databases)",
3.1.4.2,2,EMS2026-3-1-4-2-05|EMS2026-3-1-4-2-06,291|341,ePCR Architecture And Workflow Burden|EMS Information-System Linkage,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Information system design,QUALITY MANAGEMENT
3.1.4.3,1,EMS2026-3-1-4-3-05,274,Outcome Linkage Versus Event Metrics,uncovered50_v3_source_hardened,Performance measures,QUALITY MANAGEMENT
3.1.5.1,2,EMS2026-3-1-5-1-02|EMS2026-3-1-5-1-01,325|389,Reproducible Systematic Review|Systematic Review Versus Narrative Review,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Systematic literature reviews with or without meta-analyses,QUALITY MANAGEMENT
3.1.5.2,1,EMS2026-3-1-5-2-02,349,Guideline Applicability Domain,primary_doctrine_uncovered100,Evidence-based guidelines,QUALITY MANAGEMENT
3.1.6,1,EMS2026-3-1-6-08,73,Equity Monitoring During Implementation,legacy_locked_priority_superset_100,Implementation Science,
3.2.1.1,1,EMS2026-3-2-1-1-07,80,The Common Rule,legacy_locked_priority_superset_100,"Ethical frameworks (e.g., Belmont Report, Common Rule, Final Rule)",
3.2.1.2,2,EMS2026-3-2-1-2-05|EMS2026-3-2-1-2-07,70|125,Exempt Review in EMS Research|IRB Review For Emergency Research,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Role of the Institutional Review Board,
3.2.1.3,1,EMS2026-3-2-1-3-02,358,Consent Pressure During EMS Research,primary_doctrine_uncovered100,Informed consent,RESEARCH
3.2.1.4.1,1,EMS2026-3-2-1-4-1-01,306,Exception From Informed Consent Community Consultation Timing,primary_doctrine_uncovered100,Community consultation,RESEARCH
3.2.1.5,1,EMS2026-3-2-1-5-03,225,EFIC Eligibility Boundary,second50_qi_review,Human subjects research and vulnerable populations,
3.2.2,2,EMS2026-3-2-2-05|EMS2026-3-2-2-08,26|232,Interventional Study Identification|Cohort Study Direction,first50_reviewed_website_push|second50_qi_review,Epidemiology,Research
3.2.3.1,2,EMS2026-3-2-3-1-08|EMS2026-3-2-3-1-02,178|338,Confidence Interval Interpretation|Alternative Hypothesis,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,Hypothesis testing,RESEARCH
3.2.3.2,1,EMS2026-3-2-3-2-07,164,Sensitivity And Specificity,legacy_locked_priority_superset_100,Statistical tests,
3.2.3.3,1,EMS2026-3-2-3-3-01,33,Intention-To-Treat Analysis,first50_reviewed_website_push,Data analysis,Research
3.2.4.1,2,EMS2026-3-2-4-1-02|EMS2026-3-2-4-1-06,352|365,Cluster Randomization In EMS|Multi-Arm Clinical Trial Design,primary_doctrine_uncovered100|primary_doctrine_uncovered100,"Clinical trials (e.g., randomized controlled trial)",RESEARCH
3.2.4.2,1,EMS2026-3-2-4-2-02,329,Case Series Causal Inference,primary_doctrine_uncovered100,"Observational studies (e.g., cohort, case control, case series, case report)",RESEARCH
3.2.4.3,1,EMS2026-3-2-4-3-02,175,Outcome Measure That Matters,legacy_locked_priority_superset_100,Outcome measures,
3.2.4.4,1,EMS2026-3-2-4-4-02,235,CONSORT For Randomized Trials,second50_qi_review,"Reporting guidelines (e.g., PRISMA, CONSORT, STROBE)",
3.2.4.5,1,EMS2026-3-2-4-5-05,40,Cost-Minimization Analysis,first50_reviewed_website_push,Cost analysis research,Research
4.1.1.1,1,EMS2026-4-1-1-1-03,233,ESF 8 Scope,second50_qi_review,IS-800,
4.1.2.1,1,EMS2026-4-1-2-1-05,251,NIMS Component Behind The Information Failure,uncovered50_v3_source_hardened,IS-700,DISASTER MANAGEMENT
4.1.3.1,2,EMS2026-4-1-3-1-02|EMS2026-4-1-3-1-03,321|371,Incident Command Logistics Section|When To Create An EMS Branch,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Integration of medical operations,DISASTER MANAGEMENT
4.1.3.2,2,EMS2026-4-1-3-2-02|EMS2026-4-1-3-2-04,356|399,Escalating Beyond Local Resources|Incident Action Plan Objective Linkage,primary_doctrine_uncovered100|primary_doctrine_uncovered100,"Local, state, federal assets",DISASTER MANAGEMENT
4.1.3.3,1,EMS2026-4-1-3-3-02,121,EMS Branch Span Of Control,legacy_locked_priority_superset_100,Regional resource allocation and management,
4.1.3.5,1,EMS2026-4-1-3-5-02,1,ICS-200 For Initial Incident Command,first50_reviewed_website_push,IS-100 and IS-200,Disaster Management
4.1.4.1,1,EMS2026-4-1-4-1-03,146,Stafford Act Disaster Declaration,legacy_locked_priority_superset_100,State and federal criteria for disaster declaration,
4.1.4.2,2,EMS2026-4-1-4-2-05|EMS2026-4-1-4-2-06,92|176,Emergency Management Assistance Compact Licensure|Mutual Aid and Self-Deployment,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,State emergency mutual aid compacts,
4.1.5.1,1,EMS2026-4-1-5-1-04,293,NDMS Patient Movement Through A Federal Coordinating Center,uncovered50_v3_source_hardened,National Disaster Medical System (NDMS),DISASTER MANAGEMENT
4.1.5.2,1,EMS2026-4-1-5-2-04,285,Title 32 Civil Support Team Command Status,uncovered50_v3_source_hardened,Specialized teams,DISASTER MANAGEMENT
4.1.5.3,1,EMS2026-4-1-5-3-04,262,NGO Mass-Care Role Versus Medical Assets,uncovered50_v3_source_hardened,Non-governmental agencies,DISASTER MANAGEMENT
4.1.5.4,2,EMS2026-4-1-5-4-04|EMS2026-4-1-5-4-02,297|374,MRC Integration Versus Walk-In Volunteers|Medical Reserve Corps Role,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Medical Reserve Corps,DISASTER MANAGEMENT
4.1.5.5,1,EMS2026-4-1-5-5-02,211,Strategic Caches And Stockpiles,second50_qi_review,State and federal assets,
4.1.6.1,2,EMS2026-4-1-6-1-04|EMS2026-4-1-6-1-05,260|312,Likelihood Of Benefit In Scarce Antidote Allocation|Resource Allocation Across Jurisdictions,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Allocation of scene resources,DISASTER MANAGEMENT
4.1.6.2,1,EMS2026-4-1-6-2-02,333,NIMS Credentialing Deployment Authorization,primary_doctrine_uncovered100,Personnel credentialing issues,DISASTER MANAGEMENT
4.1.6.3,1,EMS2026-4-1-6-3-02,37,Crisis Standards Legal Boundary,first50_reviewed_website_push,Contingency and crisis standards of care,Disaster Management
4.1.6.4,1,EMS2026-4-1-6-4-04,244,Regional Resource Request Spillover,uncovered50_v3_source_hardened,Regional Medical Operations Coordination Centers,DISASTER MANAGEMENT
4.1.6.5,2,EMS2026-4-1-6-5-04|EMS2026-4-1-6-5-02,296|359,Alternate Care Facility Authority And Credentialing|External Clinicians At Alternate Care Sites,uncovered50_v3_source_hardened|primary_doctrine_uncovered100,Alternate care facilities,DISASTER MANAGEMENT
4.1.7.1,1,EMS2026-4-1-7-1-01,212,When MCI Triage Is Needed,second50_qi_review,Triage,
4.1.7.2.1,2,EMS2026-4-1-7-2-1-02|EMS2026-4-1-7-2-1-04,56|59,Treatment Sector Function|Nontransporting ALS In Treatment Areas,first50_reviewed_website_push|first50_reviewed_website_push,Life-saving interventions and on-site treatment,Disaster Management
4.1.7.2.2,1,EMS2026-4-1-7-2-2-04,241,Early Redundant Tracking For Family Reunification,uncovered50_v3_source_hardened,Patient reunification,DISASTER MANAGEMENT
4.1.7.3.1,1,EMS2026-4-1-7-3-1-04,286,Nontraditional Transport For Walking Wounded,uncovered50_v3_source_hardened,Transport modes,DISASTER MANAGEMENT
4.1.7.3.2,1,EMS2026-4-1-7-3-2-01,387,Mass-Casualty Incident Destination Distribution,primary_doctrine_uncovered100,Destination,DISASTER MANAGEMENT
4.1.7.3.3,1,EMS2026-4-1-7-3-3-01,109,Dynamic Triage Categories,legacy_locked_priority_superset_100,Patient tracking,
4.1.8.1.3,1,EMS2026-4-1-8-1-3-01,99,Decontamination Before Leaving the Exposure Site,legacy_locked_priority_superset_100,Personnel and patient decontamination,
4.1.8.2,1,EMS2026-4-1-8-2-01,397,Overt Chemical Incident Priorities,primary_doctrine_uncovered100,Chemical incidents,DISASTER MANAGEMENT
4.1.8.3,1,EMS2026-4-1-8-3-01,309,Delayed Cluster After Event,primary_doctrine_uncovered100,Biological incidents,DISASTER MANAGEMENT
4.1.8.4,1,EMS2026-4-1-8-4-04,123,Radiological Contamination and Lifesaving Care,legacy_locked_priority_superset_100,Radiological incidents,
4.1.8.5,1,EMS2026-4-1-8-5-01,396,Nuclear Detonation Early Casualty Pattern,primary_doctrine_uncovered100,Nuclear incidents,DISASTER MANAGEMENT
4.1.8.6.3,1,EMS2026-4-1-8-6-3-04,328,USAR Hazard Control Plus Crush Risk,primary_doctrine_uncovered100,Integration with search and rescue,DISASTER MANAGEMENT
4.2.1.3,1,EMS2026-4-2-1-3-02,50,Event Treatment Facility Design,first50_reviewed_website_push,Design of event treatment facilities,Mass Gathering
4.2.1.5,2,EMS2026-4-2-1-5-05|EMS2026-4-2-1-5-01,57|115,Mass Gathering Initial Resource Report|Mass Gathering Escalation Risk,first50_reviewed_website_push|legacy_locked_priority_superset_100,MCI preparedness within mass gathering,Mass Gathering
4.2.2.2,1,EMS2026-4-2-2-2-05,355,Mobile Physician At Large Event,primary_doctrine_uncovered100,Physician role,MASS GATHERING
4.2.3,1,EMS2026-4-2-3-05,55,Mass Gathering Drill Participation,first50_reviewed_website_push,Training and Drills,Mass Gathering
4.2.5.1,1,EMS2026-4-2-5-1-03,17,Event Dispatch Responsibilities,first50_reviewed_website_push,Onsite public safety answering point and dispatch,Mass Gathering
4.3.1,1,EMS2026-4-3-1-07,103,Emergency Incident Rehabilitation Trigger,legacy_locked_priority_superset_100,Personnel rehabilitation,
4.4.4,2,EMS2026-4-4-4-04|EMS2026-4-4-4-05,10|35,Tactical Field Care Tradeoff|Tactical Extraction Versus Routine Care,first50_reviewed_website_push|first50_reviewed_website_push,Phases of care,Tactical
4.4.5.2,1,EMS2026-4-4-5-2-03,200,Airway Care Without Light,second50_qi_review,Sensory-deprived or sensory-overload physical assessment,
4.4.6.1,2,EMS2026-4-4-6-1-05|EMS2026-4-4-6-1-02,130|173,Tactical Medical Threat Assessment|Tactical Medical Threat Across Mission Phases,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Medical threat assessment,
4.4.6.4,1,EMS2026-4-4-6-4-01,303,Nerve-Agent Care Under Fire,primary_doctrine_uncovered100,Hazardous materials/clandestine drug labs,TACTICAL
4.5.1.1,1,EMS2026-4-5-1-1-04,65,High-Angle Rescue Equipment Planning,legacy_locked_priority_superset_100,Rope rescue,
4.5.1.2,1,EMS2026-4-5-1-2-03,134,Confined-Space Atmospheric Testing,legacy_locked_priority_superset_100,Confined space rescue,
4.5.1.5,1,EMS2026-4-5-1-5-04,85,Medical Advice During Machinery Disentanglement,legacy_locked_priority_superset_100,Vehicle and machinery rescue,
4.5.5,1,EMS2026-4-5-5-01,64,Equipment Staging Before Access,legacy_locked_priority_superset_100,Operational considerations,
4.5.7,1,EMS2026-4-5-7-02,310,US&R Medical Team Manager Responsibilities,primary_doctrine_uncovered100,Health and medical support of a task force team,TECHNICAL RESCUE AND URBAN SEARCH AND RESCUE
4.6.1,1,EMS2026-4-6-1-06,353,Wilderness Oversight For Prolonged Field Care,primary_doctrine_uncovered100,Patient care in an austere setting,WILDERNESS
4.6.2.1,1,EMS2026-4-6-2-1-03,318,Longer Wilderness Resuscitation Exceptions,primary_doctrine_uncovered100,Care and reassessment during prolonged evacuation,WILDERNESS
4.6.2.2,1,EMS2026-4-6-2-2-04,199,Impaled Object During Wilderness Evacuation,second50_qi_review,Advanced wound care,
4.6.2.3,2,EMS2026-4-6-2-3-01|EMS2026-4-6-2-3-03,45|112,Wilderness Joint Reduction Tradeoff|Wilderness Shoulder Reduction,first50_reviewed_website_push|legacy_locked_priority_superset_100,"Field reduction of dislocations, subluxations, or fractures",Wilderness
4.6.2.4,2,EMS2026-4-6-2-4-02|EMS2026-4-6-2-4-04,81|91,Hypothermia Handling Priority|Field Thawing of Frostbite,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Patient temperature management,
4.7.2,1,EMS2026-4-7-2-06,218,MIH Heart-Failure Education Need,second50_qi_review,Expanded role/scope of practice,
