question_number,pilot_id,core_content_code,title,correct_answer,option_letter,option_text,heuristic_authenticity_score,deterministic_flags,nearby_correct_scenario_required,nearby_correct_scenario_note,temptation_note,audit_prompt
90,WEBX100-090,2.3.2.2.1,Volume-Overload Heart Failure Pattern,B,C,"Use oxygen saturation as the main discriminator, because normal saturation makes acute heart failure unlikely.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
90,WEBX100-090,2.3.2.2.1,Volume-Overload Heart Failure Pattern,B,D,Treat leg edema as chronic background information unless hypotension or chest pain is present.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
91,WEBX100-091,1.1.2.2,Human Trafficking Training Package,C,A,A list of criminal penalties for traffickers and a reminder to call police for every suspicious patient.,2,absolute_term;no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
91,WEBX100-091,1.1.2.2,Human Trafficking Training Package,C,B,"Recognition indicators, trauma-informed interviewing, support resources, criminal penalties for traffickers, and a hotline number.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
91,WEBX100-091,1.1.2.2,Human Trafficking Training Package,C,D,A lecture on event security plans without patient-support or documentation content.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
92,WEBX100-092,2.3.7.6,Pregnant Trauma Monitoring Destination,D,A,Closest hospital because normal maternal vital signs exclude fetal risk.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
92,WEBX100-092,2.3.7.6,Pregnant Trauma Monitoring Destination,D,B,Home with instructions because low-speed crashes do not require evaluation after 24 weeks.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
92,WEBX100-092,2.3.7.6,Pregnant Trauma Monitoring Destination,D,C,"Trauma center only, regardless of obstetric capability or injury severity.",2,borderline_absolute_term;no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
93,WEBX100-093,2.2.1.6,Open Pneumothorax Dressing Choice,A,B,"Use bulky nonocclusive gauze with a pressure wrap, prioritizing blood absorption while avoiding any seal over the chest-wall defect.",2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
93,WEBX100-093,2.2.1.6,Open Pneumothorax Dressing Choice,A,C,"Control the wound with direct pressure and hemostatic gauze first, because bubbling chest wounds should be treated primarily as external hemorrhage.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
93,WEBX100-093,2.2.1.6,Open Pneumothorax Dressing Choice,A,D,Place a fully occlusive nonvented dressing on all sides and focus reassessment on external bleeding rather than tension physiology.,1,absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
94,WEBX100-094,3.2.2,Cohort Study Direction,B,A,"Case-control, because the study starts with outcomes and looks backward to exposure.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
94,WEBX100-094,3.2.2,Cohort Study Direction,B,C,"Cross-sectional, because exposure and outcome are measured at one instant without follow-up.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
94,WEBX100-094,3.2.2,Cohort Study Direction,B,D,"Systematic review, because multiple patient groups are compared.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
95,WEBX100-095,4.1.1.1,ESF 8 Scope,C,A,"Emergency Support Function #5: incident-management coordination, situational assessment, and federal emergency-management support.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
95,WEBX100-095,4.1.1.1,ESF 8 Scope,C,B,"Emergency Support Function #6: mass care, emergency assistance, temporary housing, and human-services support.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
95,WEBX100-095,4.1.1.1,ESF 8 Scope,C,D,"Emergency Support Function #13: public safety, security operations, traffic control, and law-enforcement support.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
96,WEBX100-096,3.2.4.4,CONSORT For Randomized Trials,D,A,Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA).,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
96,WEBX100-096,3.2.4.4,CONSORT For Randomized Trials,D,B,Strengthening the Reporting of Observational Studies in Epidemiology (STROBE).,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
96,WEBX100-096,3.2.4.4,CONSORT For Randomized Trials,D,C,Standards for Quality Improvement Reporting Excellence (SQUIRE).,1,very_short_option;no_real_action_term_info,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
97,WEBX100-097,4.7.4,MIH Regulation Without Stifling Innovation,A,B,Use local medical-director protocols while asking the state to clarify rules after the pilot demonstrates value.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
97,WEBX100-097,4.7.4,MIH Regulation Without Stifling Innovation,A,C,"Limit the pilot to data collection and referral navigation until state regulation, scope, and payment questions are addressed.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
97,WEBX100-097,4.7.4,MIH Regulation Without Stifling Innovation,A,D,Run the program under a hospital quality-improvement charter so state EMS regulation is less likely to apply.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
98,WEBX100-098,1.2.5.12,In-Flight Chest Pain Coordination,B,A,"Recommend immediate diversion solely because chest discomfort occurred, before completing assessment or ground medical consultation.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
98,WEBX100-098,1.2.5.12,In-Flight Chest Pain Coordination,B,C,Avoid ground medical consultation because symptoms are improving and the aircraft is already within an hour of the scheduled destination.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
98,WEBX100-098,1.2.5.12,In-Flight Chest Pain Coordination,B,D,Direct the crew independently as the medical authority because clinical decisions supersede flight operations during passenger illness.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
99,WEBX100-099,1.1.1.3,Low-Frequency High-Risk Skill Maintenance,C,A,Use initial course completion plus annual protocol attestation for rare skills unless an adverse event occurs.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
99,WEBX100-099,1.1.1.3,Low-Frequency High-Risk Skill Maintenance,C,B,Use confidence surveys and supervisor observation to identify clinicians who request extra practice.,2,low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
99,WEBX100-099,1.1.1.3,Low-Frequency High-Risk Skill Maintenance,C,D,Review rare skills during biennial credentialing only if the clinician has performed the skill since the last review.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
100,WEBX100-100,1.1.1.3,Competency Review Interval,D,A,Use state license renewal alone because it proves current local competence.,1,absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
100,WEBX100-100,1.1.1.3,Competency Review Interval,D,B,Review competence only after patient complaints because routine reverification is punitive.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
100,WEBX100-100,1.1.1.3,Competency Review Interval,D,C,Use annual human-resources evaluation without clinical skill or judgment assessment.,2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
